Date,Zalo,FBM,Bigo,Viber
07/30/2016,3,1,8,19
07/31/2016,3,1,9,24
08/01/2016,3,1,9,23
08/02/2016,1,2,8,23
08/03/2016,1,2,8,21
08/04/2016,2,3,8,18
08/05/2016,3,2,8,19
08/06/2016,4,3,9,26
08/07/2016,5,3,10,24
08/08/2016,5,3,9,25
08/09/2016,5,3,11,28
08/10/2016,4,3,10,26
08/11/2016,5,3,12,26
08/12/2016,5,3,12,29
08/13/2016,4,3,12,28
08/14/2016,5,3,11,26
08/15/2016,3,2,10,25
08/16/2016,3,2,11,24
08/17/2016,3,2,10,26
08/18/2016,3,2,8,25
08/19/2016,4,3,7,30
08/20/2016,5,4,8,29
08/21/2016,5,3,9,26
08/22/2016,5,3,8,22
08/23/2016,4,3,6,26
08/24/2016,4,3,6,25
08/25/2016,5,4,3,24
08/26/2016,3,5,6,22
08/27/2016,4,5,7,21
08/28/2016,4,5,7,26
08/29/2016,1,4,7,25
08/30/2016,1,4,6,19
08/31/2016,1,4,8,17
09/01/2016,1,3,9,19
09/02/2016,1,4,11,27
09/03/2016,2,4,11,29
09/04/2016,2,3,10,27
09/05/2016,2,3,11,26
09/06/2016,3,5,8,27
09/07/2016,2,5,9,25
09/08/2016,3,5,13,30
09/09/2016,3,5,13,27
09/10/2016,4,3,14,30
09/11/2016,3,2,12,30
09/12/2016,1,3,9,26
09/13/2016,1,3,7,26
09/14/2016,1,3,7,27
09/15/2016,3,5,10,25
09/16/2016,3,5,11,21
09/17/2016,2,3,11,21
09/18/2016,4,5,10,22
09/19/2016,4,6,11,20
09/20/2016,2,5,12,20
09/21/2016,1,4,9,21
09/22/2016,1,3,8,18
09/23/2016,1,3,6,16
09/24/2016,1,3,6,21
09/25/2016,1,2,8,22
09/26/2016,1,2,6,20
09/27/2016,1,2,7,20
09/28/2016,2,3,6,22
09/29/2016,2,3,9,25
09/30/2016,3,6,12,19
10/01/2016,3,6,10,21
10/02/2016,4,9,12,32
10/03/2016,6,12,5,30
10/04/2016,1,3,7,23
10/05/2016,1,3,10,21
10/06/2016,1,2,11,18
10/07/2016,2,3,10,18
10/08/2016,1,3,11,19
10/09/2016,2,3,13,21
10/10/2016,1,2,13,19
10/11/2016,1,3,14,20
10/12/2016,1,3,16,21
10/13/2016,2,3,16,22
10/14/2016,2,4,15,22
10/15/2016,2,4,15,24
10/16/2016,3,2,16,23
10/17/2016,1,3,16,20
10/18/2016,1,2,12,19
10/19/2016,1,3,12,18
10/20/2016,1,3,17,15
10/21/2016,2,3,19,17
10/22/2016,2,3,19,21
10/23/2016,2,3,18,24
10/24/2016,2,3,13,21
10/25/2016,2,3,16,19
10/26/2016,2,3,20,17
