Platform,Date,App ID,App Name,Publisher ID,Publisher Name,Update Type,Previous Value,New Value,Notes
Google Play,2016-08-30,com.facebook.orca,Messenger,20200000193769,Facebook,Screenshot,'https://static-s.aa-cdn.net/img/gp/20600000013404/S3udjKLR0045VRTGmKSCRq6n_-JVM084xH36SYUmjRnc8zZ2Gcq8eL7bixe-cscP_A=h900' 'https://static-s.aa-cdn.net/img/gp/20600000013404/Idi8NCyRZHGQ8V1h64dGqD-N7PGym27FghdYtRqCY1H5HP5wRZwjISS8RB2XXnwh6Q=h900' 'https://static-s.aa-cdn.net/img/gp/20600000013404/reXX4Sm0tmG5vu534eddDzgBW8R3s3ysmVCpMuXphHSDXct92G8vRpJQis7ZgCHe0Q=h900' 'https://static-s.aa-cdn.net/img/gp/20600000013404/2FjQK1nkRoihPnafEG3KxuO5UkRDjZKfHUPcZgtz1jgB-zpKg9tduPEuX2jjK23WpwKv=h900' 'https://static-s.aa-cdn.net/img/gp/20600000013404/dH_Znb__NjJkyQ0_HW4TPniO3pnfXqhVF9xQ2r06bj_z0PGXIKIIxw0GlvDmKWYUDw=h900' 'https://static-s.aa-cdn.net/img/gp/20600000013404/qvqDEwA-q0qKrXMfMTaI6GYymqI1sdmS00QYoEYNn_fR2Eh2hIsHKs-D_9c1q9EV5m7N=h900' 'https://static-s.aa-cdn.net/img/gp/20600000013404/Aw9Yc9dOrD4sMMLHmlUizVwcAwUhJntcUPc68Fl_UpVozZmLRQmIu0iFHrvMv1IiXzQ=h900','https://static-s.aa-cdn.net/img/gp/20600000013404/j05Jptojk65yw9DwWS8rmBFsVMFn38adWbLyogyKaRiFOXxS2sgvM6hEOoDQT2ykCA=h900' 'https://static-s.aa-cdn.net/img/gp/20600000013404/Qzbq2jlrZqeEosEi0DrW2NzH91g7eTg0eyCAojCvZH57y000Wx-uvoyZoMme8wBhNpBM=h900' 'https://static-s.aa-cdn.net/img/gp/20600000013404/NAZSjkXAU2bL7luKqUwbpiyPcTn03iXgMQ8w_D7yIV6iCytn0MMhNtvDUlfybV2QHaY=h900' 'https://static-s.aa-cdn.net/img/gp/20600000013404/GHh3ulO3lfZW1Xek1JiRH8uvL3mN372QXOsJbG_AdAk5ND7n9O1pw63ajTMnqU73ImfB=h900' 'https://static-s.aa-cdn.net/img/gp/20600000013404/ya0f3nCEyVHz7wBJ-uPtgHLvzCwfgvSordNKwRPfwYXzDdIHQ4Jm-HIEGyHmfv1oTkU=h900',
Google Play,2016-09-01,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.08.29,2016.08.31,Now you can see your call history and missed calls—all in one place.
Google Play,2016-09-07,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.08.31,2016.09.06,Now you can see your call history and missed calls—all in one place.
Google Play,2016-09-08,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.09.06,2016.09.07,Now you can see your call history and missed calls—all in one place.
Google Play,2016-09-09,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.09.07,2016.09.08,Now you can see your call history and missed calls—all in one place.
Google Play,2016-09-13,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.09.08,2016.09.12,Now you can see your call history and missed calls—all in one place.
Google Play,2016-09-14,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.09.12,2016.09.14,Now you can see your call history and missed calls—all in one place.
Google Play,2016-09-20,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.09.14,2016.09.19,Now you can see your call history and missed calls—all in one place.
Google Play,2016-09-21,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.09.19,2016.09.20,Now you can see your call history and missed calls—all in one place.
Google Play,2016-09-22,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.09.20,2016.09.21,Now you can see your call history and missed calls—all in one place.
Google Play,2016-09-27,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.09.21,2016.09.26,Now you can see your call history and missed calls—all in one place.
Google Play,2016-09-28,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.09.26,2016.09.28,Now you can see your call history and missed calls—all in one place.
Google Play,2016-10-04,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.09.28,2016.10.03,Now you can see your call history and missed calls—all in one place.
Google Play,2016-10-06,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.10.03,2016.10.05,Now you can see your call history and missed calls—all in one place.
Google Play,2016-10-11,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.10.05,2016.10.10,Now you can see your call history and missed calls—all in one place.
Google Play,2016-10-13,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.10.10,2016.10.12,Now you can see your call history and missed calls—all in one place.
Google Play,2016-10-18,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.10.12,2016.10.17,Now you can see your call history and missed calls—all in one place.
Google Play,2016-10-20,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.10.17,2016.10.19,Now you can see your call history and missed calls—all in one place.
Google Play,2016-10-25,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.10.19,2016.10.24,Now you can see your call history and missed calls—all in one place.
Google Play,2016-10-26,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.10.24,2016.10.25,Now you can see your call history and missed calls—all in one place.
Google Play,2016-10-28,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.10.25,2016.10.27,Now you can see your call history and missed calls—all in one place.
Google Play,2016-10-29,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.10.27,2016.10.28,Now you can see your call history and missed calls—all in one place.
Google Play,2016-11-01,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.10.28,2016.10.31,Now you can see your call history and missed calls—all in one place.
Google Play,2016-11-02,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.10.31,2016.11.01,Now you can see your call history and missed calls—all in one place.
Google Play,2016-11-03,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.11.01,2016.11.02,Now you can see your call history and missed calls—all in one place.
Google Play,2016-11-04,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.11.02,2016.11.03,Now you can see your call history and missed calls—all in one place.
Google Play,2016-11-08,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.11.03,2016.11.07,Now you can see your call history and missed calls—all in one place.
Google Play,2016-11-09,com.facebook.orca,Messenger,20200000193769,Facebook,Version,2016.11.07,2016.11.08,Now you can see your call history and missed calls—all in one place.
