Platform,Date,App ID,App Name,Publisher ID,Publisher Name,Update Type,Previous Value,New Value,Notes
Google Play,2012-02-20,com.viber.voip,Viber,20200000476866,Viber Media S.à r.l.,Version,2.1.2.116554,2.1.3.575,
Google Play,2012-02-21,com.viber.voip,Viber,20200000476866,Viber Media S.à r.l.,Version,2.1.3.575,2.1.4.588,
Google Play,2012-02-28,com.viber.voip,Viber,20200000476866,Viber Media S.à r.l.,Version,2.1.4.588,2.1.5.614,
Google Play,2012-03-06,com.viber.voip,Viber,20200000476866,Viber Media S.à r.l.,Version,2.1.5.614,2.1.6.632,
Google Play,2012-07-24,com.viber.voip,Viber,20200000476866,Viber Media S.à r.l.,Version,2.1.6.632,2.2.0.1344,
Google Play,2012-07-31,com.viber.voip,Viber,20200000476866,Viber Media S.à r.l.,Version,2.2.0.1344,2.2.1.21,
Google Play,2012-08-30,com.viber.voip,Viber,20200000476866,Viber Media S.à r.l.,Version,2.2.1.21,2.2.2.22,
Google Play,2012-09-26,com.viber.voip,Viber,20200000476866,Viber Media S.à r.l.,Version,2.2.2.22,2.2.3.108,
Google Play,2012-09-30,com.viber.voip,Viber,20200000476866,Viber Media S.à r.l.,Version,2.2.3.108,2.2.3.109,
Google Play,2012-12-18,com.viber.voip,Viber,20200000476866,Viber Media S.à r.l.,Version,2.2.3.109,2.3.0.694,
Google Play,2013-01-09,com.viber.voip,Viber,20200000476866,Viber Media S.à r.l.,Version,2.3.0.694,2.3.1.59,
Google Play,2013-01-10,com.viber.voip,Viber,20200000476866,Viber Media S.à r.l.,Version,2.3.1.59,2.3.2.61,
Google Play,2013-02-19,com.viber.voip,Viber,20200000476866,Viber Media S.à r.l.,Version,2.3.2.61,2.3.3.319,
Google Play,2013-02-21,com.viber.voip,Viber,20200000476866,Viber Media S.à r.l.,Version,2.3.3.319,2.3.4.322,
Google Play,2013-02-22,com.viber.voip,Viber,20200000476866,Viber Media S.à r.l.,Version,2.3.4.322,2.3.5.329,
Google Play,2013-03-19,com.viber.voip,Viber,20200000476866,Viber Media S.à r.l.,Version,2.3.5.329,2.3.6.338,
Google Play,2013-05-08,com.viber.voip,Viber,20200000476866,Viber Media S.à r.l.,Version,2.3.6.338,3.0.0.1686,
Google Play,2013-05-08,com.viber.voip,Viber,20200000476866,Viber Media S.à r.l.,Name,Viber : Free Calls & Messages,Viber : Free Messages & Calls,
Google Play,2013-05-16,com.viber.voip,Viber,20200000476866,Viber Media S.à r.l.,Version,3.0.0.1686,3.0.1.3,
Google Play,2013-06-17,com.viber.voip,Viber,20200000476866,Viber Media S.à r.l.,Version,3.0.1.3,3.0.2.5,
Google Play,2013-07-30,com.viber.voip,Viber,20200000476866,Viber Media S.à r.l.,Version,3.0.2.5,3.1.0.1103,
Google Play,2013-07-30,com.viber.voip,Viber,20200000476866,Viber Media S.à r.l.,Name,Viber : Free Messages & Calls,Viber,
Google Play,2013-08-08,com.viber.voip,Viber,20200000476866,Viber Media S.à r.l.,Version,3.1.0.1103,3.1.1.15,
Google Play,2013-11-12,com.viber.voip,Viber,20200000476866,Viber Media S.à r.l.,Version,3.1.1.15,4.0.0.1707,
Google Play,2013-12-03,com.viber.voip,Viber,20200000476866,Viber Media S.à r.l.,Version,4.0.0.1707,4.0.1.2,
Google Play,2013-12-05,com.viber.voip,Viber,20200000476866,Viber Media S.à r.l.,Version,4.0.1.2,4.1.0.665,
