Report,Rank History
App ID,com.facebook.orca
App,Messenger
Market,Google Play
Countries,Vietnam
Device,-
Start Date,01/01/2016
End Date,02/08/2017
Date Generated,02/07/2017 22:56:35 PST

Platform,Device,Country Name,App ID,App Name,Publisher ID,Publisher Name,Date,Type,Overall,Android Wear (Applications),Applications,Communication (Applications)
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/01/2016,Downloads,4,0,3,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/02/2016,Downloads,4,0,3,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/03/2016,Downloads,4,0,3,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/04/2016,Downloads,4,0,3,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/05/2016,Downloads,4,0,3,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/06/2016,Downloads,4,0,3,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/07/2016,Downloads,4,0,3,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/08/2016,Downloads,4,0,3,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/09/2016,Downloads,4,0,3,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/10/2016,Downloads,5,0,4,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/11/2016,Downloads,5,0,4,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/12/2016,Downloads,5,0,4,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/13/2016,Downloads,4,0,3,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/14/2016,Downloads,4,0,3,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/15/2016,Downloads,3,0,3,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/16/2016,Downloads,3,0,3,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/17/2016,Downloads,4,0,4,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/18/2016,Downloads,4,0,4,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/19/2016,Downloads,4,0,4,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/20/2016,Downloads,3,0,3,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/21/2016,Downloads,3,0,3,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/22/2016,Downloads,3,0,3,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/23/2016,Downloads,4,0,3,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/24/2016,Downloads,4,0,4,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/25/2016,Downloads,4,0,4,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/26/2016,Downloads,4,0,4,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/27/2016,Downloads,4,0,4,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/28/2016,Downloads,4,0,4,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/29/2016,Downloads,4,0,4,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/30/2016,Downloads,4,0,4,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,01/31/2016,Downloads,4,0,4,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,02/01/2016,Downloads,4,0,4,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,02/02/2016,Downloads,4,0,4,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,02/03/2016,Downloads,4,0,4,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,02/04/2016,Downloads,4,0,4,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,02/05/2016,Downloads,4,0,4,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,02/06/2016,Downloads,4,0,4,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,02/07/2016,Downloads,4,0,4,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,02/08/2016,Downloads,3,0,3,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,02/09/2016,Downloads,3,0,3,2
Google Play,-,Vietnam,com.facebook.orca,Messenger,20200000193769,Facebook,02/10/2016,Downloads,1,0,1,1
