Report,Rank History
App ID,com.zing.zalo
App,Zalo
Market,Google Play
Countries,Vietnam
Device,-
Start Date,07/21/2012
End Date,02/08/2017
Date Generated,02/07/2017 23:00:39 PST

Platform,Device,Country Name,App ID,App Name,Publisher ID,Publisher Name,Date,Type,Overall,Applications,Communication (Applications),Lifestyle (Applications)
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,09/09/2012,Downloads,171,112,17,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,09/10/2012,Downloads,172,112,17,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,09/11/2012,Downloads,169,110,17,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,09/12/2012,Downloads,169,109,17,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,09/13/2012,Downloads,168,110,17,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,09/14/2012,Downloads,161,104,17,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,09/15/2012,Downloads,159,101,17,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,09/16/2012,Downloads,155,100,17,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,09/17/2012,Downloads,141,94,16,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,09/18/2012,Downloads,126,85,16,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,09/19/2012,Downloads,118,77,15,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,09/20/2012,Downloads,111,73,15,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,09/21/2012,Downloads,107,73,15,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,09/22/2012,Downloads,103,73,15,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,09/23/2012,Downloads,104,73,15,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,09/24/2012,Downloads,103,73,15,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,09/25/2012,Downloads,111,78,15,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,09/26/2012,Downloads,117,81,15,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,09/27/2012,Downloads,120,83,15,0
