Report,Rank History
App ID,com.zing.zalo
App,Zalo
Market,Google Play
Countries,Vietnam
Device,-
Start Date,01/01/2016
End Date,02/08/2017
Date Generated,02/07/2017 22:57:46 PST

Platform,Device,Country Name,App ID,App Name,Publisher ID,Publisher Name,Date,Type,Overall,Applications,Communication (Applications)
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/22/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/23/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/24/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/25/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/26/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/27/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/28/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/29/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/01/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/02/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/03/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/04/2016,Downloads,1,1,1
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/05/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/06/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,03/07/2016,Downloads,2,2,2
